# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
14795.8,291.0,-77.5172,-77.268
14795.8,291.0,-77.5172,-77.268
14832.6,287.0,-77.5163,-77.2682
14886.8,282.0,-77.5148,-77.2686
14886.8,282.0,-77.5148,-77.2686
14982.5,275.0,-77.5123,-77.2693
14982.5,275.0,-77.5123,-77.2693
15073.3,269.0,-77.5099,-77.2699
15073.3,269.0,-77.5099,-77.2699
15161.8,266.0,-77.5076,-77.2705
15199.2,266.0,-77.5066,-77.2708
15250.7,267.0,-77.5053,-77.2711
15288.1,266.0,-77.5043,-77.2714
15342.7,265.0,-77.5029,-77.2718
15433.5,264.0,-77.5006,-77.2724
15433.5,264.0,-77.5006,-77.2724
15530.1,263.0,-77.4981,-77.2731
15620.7,264.0,-77.4958,-77.2737
15620.7,264.0,-77.4958,-77.2737
15715.2,262.0,-77.4933,-77.2744
15823.0,255.0,-77.4906,-77.2751
15823.0,255.0,-77.4906,-77.2751
15917.6,249.0,-77.4882,-77.2758
15917.6,249.0,-77.4882,-77.2758
16004.8,251.0,-77.486,-77.2764
16004.8,251.0,-77.486,-77.2764
16115.5,252.0,-77.4833,-77.2772
16115.5,252.0,-77.4833,-77.2772
16205.9,250.0,-77.4811,-77.2778
16205.9,250.0,-77.4811,-77.2778
16243.3,252.0,-77.4802,-77.2781
16297.3,254.0,-77.4788,-77.2785
16297.3,254.0,-77.4788,-77.2785
16388.7,257.0,-77.4766,-77.2792
